chr	pair	shared	weighted
chr18	GV.ST	unshared	0.47801075169098955
chr18	SB.ST	shared	0.4156384366914196
chr19	BT.GV	shared	0.24796063732648166
chr19	BT.SB	unshared	0.4317756713058365
chr19	BT.ST	unshared	0.2778137592112311
chr19	GV.SB	unshared	0.3886972964486626
chr19	GV.ST	unshared	0.1212439201423778
chr19	SB.ST	shared	0.41154190010533725
chr2	BT.GV	shared	0.3025353678853969
chr2	BT.SB	unshared	0.3073813731635188
chr2	BT.ST	unshared	0.31696512012168615
chr2	GV.SB	unshared	0.37412705319445133
chr2	GV.ST	unshared	0.3509638859837002
chr2	SB.ST	shared	0.35400231696534834
chr20	BT.GV	shared	0.23355600890054554
chr20	BT.SB	unshared	0.2721341265336211
chr20	BT.ST	unshared	0.20685507565741146
chr20	GV.SB	unshared	0.39851053193641967
chr20	GV.ST	unshared	0.3366482900130019
chr20	SB.ST	shared	0.27448341407394694
chr21	BT.GV	shared	0.33161244102813336
chr21	BT.SB	unshared	0.3208232735847946
chr21	BT.ST	unshared	0.4204626551689766
chr21	GV.SB	unshared	0.3256664158717815
chr21	GV.ST	unshared	0.43593141865893553
chr21	SB.ST	shared	0.2968058035178426
chr22	BT.GV	shared	0.16127328786479223
chr22	BT.SB	unshared	0.14561814532384687
chr22	BT.ST	unshared	0.3207560638037802
chr22	GV.SB	unshared	0.34234152867059087
chr22	GV.ST	unshared	0.2811840772780954
chr22	SB.ST	shared	0.3157222992988519
chr23	BT.GV	shared	0.2123755101547288
chr23	BT.SB	unshared	0.3521712626521538
chr23	BT.ST	unshared	0.14992184635280456
chr23	GV.SB	unshared	0.4386704440377459
chr23	GV.ST	unshared	0.23376778211524943
chr23	SB.ST	shared	0.41096618036117266
chr24	BT.GV	shared	0.13179521459120072
chr24	BT.SB	unshared	0.1689732677197565
chr24	BT.ST	unshared	0.13894592744695414
chr24	GV.SB	unshared	0.20286953226712512
chr24	GV.ST	unshared	0.16738644945752804
chr24	SB.ST	shared	0.20470616022098145
chr25	BT.GV	shared	0.17977061567405486
chr25	BT.SB	unshared	0.3968409073352463
chr25	BT.ST	unshared	0.0712565540721535
chr25	GV.SB	unshared	0.4771928190917854
chr25	GV.ST	unshared	0.17277798457240523
chr25	SB.ST	shared	0.43520522631586844
chr26	BT.GV	shared	0.18132511037521143
chr26	BT.SB	unshared	0.23225832154737955
chr26	BT.ST	unshared	0.1296005488207565
chr26	GV.SB	unshared	0.31174485355557724
chr26	GV.ST	unshared	0.2627494999028024
chr26	SB.ST	shared	0.2531109813353628
chr27	BT.GV	shared	0.1591087744167439
chr27	BT.SB	unshared	0.11621401913274879
chr27	BT.ST	unshared	0.11767718598994643
chr27	GV.SB	unshared	0.12997100708715648
chr27	GV.ST	unshared	0.1867975852675507
chr27	SB.ST	shared	0.15678337084942873
chr28	BT.GV	shared	0.30221498303023103
chr28	BT.SB	unshared	0.4522001796638463
chr28	BT.ST	unshared	0.23717422146352826
chr28	GV.SB	unshared	0.5382185414418997
chr28	GV.ST	unshared	0.32388753365131745
chr28	SB.ST	shared	0.5335317237081817
chr29	BT.GV	shared	0.2919714333377678
chr29	BT.SB	unshared	0.285161580124142
chr29	BT.ST	unshared	0.4384792337870795
chr29	GV.SB	unshared	0.35676525265138886
chr29	GV.ST	unshared	0.5619361808410926
chr29	SB.ST	shared	0.41468238384744444
chr3	BT.GV	shared	0.33032927827351266
chr3	BT.SB	unshared	0.32275504082959844
chr3	BT.ST	unshared	0.3236781598073703
chr3	GV.SB	unshared	0.41424557495089226
chr3	GV.ST	unshared	0.3747069296493009
chr3	SB.ST	shared	0.3535882476502191
chr30	BT.GV	shared	0.29221262566069534
chr30	BT.SB	unshared	0.2322234444223364
chr30	BT.ST	unshared	0.4504107788840273
chr30	GV.SB	unshared	0.1291587517081602
chr30	GV.ST	unshared	0.30161537596713034
chr30	SB.ST	shared	0.15091461185902427
chr4	BT.GV	shared	0.3352276940284581
chr4	BT.SB	unshared	0.332932961654719
chr4	BT.ST	unshared	0.34379247437418914
chr4	GV.SB	unshared	0.4263128605511656
chr4	GV.ST	unshared	0.391851120009429
chr4	SB.ST	shared	0.3812238475967278
chr5	BT.GV	shared	0.32421324926407236
chr5	BT.SB	unshared	0.3199492803882528
chr5	BT.ST	unshared	0.3581335026037276
chr5	GV.SB	unshared	0.40402904537657247
chr5	GV.ST	unshared	0.40965082838519495
chr5	SB.ST	shared	0.3694455152981454
chr6	BT.GV	shared	0.31191332850839937
chr6	BT.SB	unshared	0.31502642639486
chr6	BT.ST	unshared	0.34226801361085507
chr6	GV.SB	unshared	0.40335725610925277
chr6	GV.ST	unshared	0.38868998858947595
chr6	SB.ST	shared	0.3736406494645254
chr7	BT.GV	shared	0.3185419929104682
chr7	BT.SB	unshared	0.32102449598769833
chr7	BT.ST	unshared	0.3563288199784784
chr7	GV.SB	unshared	0.3938802937853065
chr7	GV.ST	unshared	0.4003840128775676
chr7	SB.ST	shared	0.3673600954344964
chr8	BT.GV	shared	0.32729564927590404
chr8	BT.SB	unshared	0.3151860603801744
chr8	BT.ST	unshared	0.3636256663575784
chr8	GV.SB	unshared	0.3935594693802547
chr8	GV.ST	unshared	0.39040662810352966
chr8	SB.ST	shared	0.3710701334779243
chr9	BT.GV	shared	0.32511982739752254
chr9	BT.SB	unshared	0.3218310183023373
chr9	BT.ST	unshared	0.3794329915936607
chr9	GV.SB	unshared	0.3895288644960451
chr9	GV.ST	unshared	0.41285624440040736
chr9	SB.ST	shared	0.3683526079075809
