chr	pair	shared	weighted
chr2	SB.ST	shared	0.3346441143414184
chr20	BT.GV	shared	0.3083483581339637
chr20	BT.SB	unshared	0.32337568064143185
chr20	BT.ST	unshared	0.34356450224191826
chr20	GV.SB	unshared	0.3581418451184528
chr20	GV.ST	unshared	0.3695559250633919
chr20	SB.ST	shared	0.3416878737449139
chr21	BT.GV	shared	0.3046294953085918
chr21	BT.SB	unshared	0.32287717950995576
chr21	BT.ST	unshared	0.3455952710469593
chr21	GV.SB	unshared	0.35507657982120505
chr21	GV.ST	unshared	0.36531483261084363
chr21	SB.ST	shared	0.3418452434502433
chr22	BT.GV	shared	0.31382993469219816
chr22	BT.SB	unshared	0.3247264655824568
chr22	BT.ST	unshared	0.3458700801226787
chr22	GV.SB	unshared	0.36067583469019737
chr22	GV.ST	unshared	0.3715669084554345
chr22	SB.ST	shared	0.34267126104067125
chr23	BT.GV	shared	0.3073969745240571
chr23	BT.SB	unshared	0.32217885479016517
chr23	BT.ST	unshared	0.34174046153852866
chr23	GV.SB	unshared	0.36241158194504147
chr23	GV.ST	unshared	0.37149305163507856
chr23	SB.ST	shared	0.3407113578400969
chr24	BT.GV	shared	0.307760624829857
chr24	BT.SB	unshared	0.31967002941554823
chr24	BT.ST	unshared	0.34719761828572115
chr24	GV.SB	unshared	0.36010178607954296
chr24	GV.ST	unshared	0.3740454746603627
chr24	SB.ST	shared	0.3384753331406054
chr25	BT.GV	shared	0.3063949347567907
chr25	BT.SB	unshared	0.3241753221792878
chr25	BT.ST	unshared	0.3473355649237587
chr25	GV.SB	unshared	0.359363360367469
chr25	GV.ST	unshared	0.3735007796206755
chr25	SB.ST	shared	0.3424868327786871
chr26	BT.GV	shared	0.3070754714317274
chr26	BT.SB	unshared	0.32232567897241304
chr26	BT.ST	unshared	0.3459043970333138
chr26	GV.SB	unshared	0.35951270211842623
chr26	GV.ST	unshared	0.37169069787472814
chr26	SB.ST	shared	0.34186396273631414
chr27	BT.GV	shared	0.3088403047063857
chr27	BT.SB	unshared	0.3211945976171766
chr27	BT.ST	unshared	0.34577245393177136
chr27	GV.SB	unshared	0.3600453684124471
chr27	GV.ST	unshared	0.37890183166225555
chr27	SB.ST	shared	0.339692654232108
chr28	BT.GV	shared	0.3084604751025413
chr28	BT.SB	unshared	0.32492766434369674
chr28	BT.ST	unshared	0.3488951752740159
chr28	GV.SB	unshared	0.3618606335975952
chr28	GV.ST	unshared	0.3726874065274053
chr28	SB.ST	shared	0.3458374817543529
chr29	BT.GV	shared	0.3053350567884183
chr29	BT.SB	unshared	0.31807481875733795
chr29	BT.ST	unshared	0.3468264492161773
chr29	GV.SB	unshared	0.3635055444460404
chr29	GV.ST	unshared	0.37847956029170515
chr29	SB.ST	shared	0.3394122661733839
chr3	BT.GV	shared	0.3297493698580754
chr3	BT.SB	unshared	0.3244380500786406
chr3	BT.ST	unshared	0.3248998503730561
chr3	GV.SB	unshared	0.39976291035759265
chr3	GV.ST	unshared	0.37121993950481164
chr3	SB.ST	shared	0.33610830251595614
chr30	BT.GV	shared	0.3075798598649913
chr30	BT.SB	unshared	0.3204517466776019
chr30	BT.ST	unshared	0.3471453691828373
chr30	GV.SB	unshared	0.35914206559371176
chr30	GV.ST	unshared	0.37384614456852766
chr30	SB.ST	shared	0.34288037540141636
chr4	BT.GV	shared	0.33100389733675656
chr4	BT.SB	unshared	0.3318058298113106
chr4	BT.ST	unshared	0.3438344753492214
chr4	GV.SB	unshared	0.410038302306305
chr4	GV.ST	unshared	0.3798656374665624
chr4	SB.ST	shared	0.3610936554806286
chr5	BT.GV	shared	0.3172362754021964
chr5	BT.SB	unshared	0.317693057532369
chr5	BT.ST	unshared	0.3494961767548084
chr5	GV.SB	unshared	0.38429575486526496
chr5	GV.ST	unshared	0.3924330458624028
chr5	SB.ST	shared	0.34227204590094834
chr6	BT.GV	shared	0.3091018909281249
chr6	BT.SB	unshared	0.3144308800501413
chr6	BT.ST	unshared	0.33472442341611575
chr6	GV.SB	unshared	0.3884774480407647
chr6	GV.ST	unshared	0.37344551674588417
chr6	SB.ST	shared	0.34970072682402137
chr7	BT.GV	shared	0.31017694180696725
chr7	BT.SB	unshared	0.31474901088355833
chr7	BT.ST	unshared	0.33677195805398996
chr7	GV.SB	unshared	0.3697847566817476
chr7	GV.ST	unshared	0.3697869502726875
chr7	SB.ST	shared	0.3385778354985266
chr8	BT.GV	shared	0.3091235117140298
chr8	BT.SB	unshared	0.30737870480826063
chr8	BT.ST	unshared	0.3342313428288914
chr8	GV.SB	unshared	0.3578396448439419
chr8	GV.ST	unshared	0.35055819721658055
chr8	SB.ST	shared	0.32685706910438717
chr9	BT.GV	shared	0.2943930765843095
chr9	BT.SB	unshared	0.30841310857332027
chr9	BT.ST	unshared	0.33407998436988284
chr9	GV.SB	unshared	0.34623075111405843
chr9	GV.ST	unshared	0.3531900377519538
chr9	SB.ST	shared	0.3155199678869266
