CHROM	POS	N_ALLELES	N_CHR	p1	p2	pop
chr1	5741	2	96	0.9375	0.0625	all
chr1	5744	2	96	0.947917	0.0520833	all
chr1	5788	2	96	0.979167	0.0208333	all
chr1	5835	2	96	0.90625	0.09375	all
chr1	5874	2	96	0.96875	0.03125	all
chr1	5884	2	96	0.9375	0.0625	all
chr1	6017	2	96	0.9375	0.0625	all
chr1	6033	2	96	0.979167	0.0208333	all
chr1	6112	2	96	0.947917	0.0520833	all
chr1	6118	2	96	0.96875	0.03125	all
chr1	6137	2	96	0.958333	0.0416667	all
chr1	6302	2	96	0.864583	0.135417	all
chr1	6321	2	96	0.854167	0.145833	all
chr1	6411	2	96	0.833333	0.166667	all
chr1	6433	2	96	0.864583	0.135417	all
chr1	6585	2	96	0.96875	0.03125	all
chr1	6649	2	96	0.979167	0.0208333	all
chr1	6727	2	96	0.875	0.125	all
chr1	7027	2	96	0.916667	0.0833333	all
chr1	7031	2	96	0.9375	0.0625	all
chr1	7041	2	96	0.864583	0.135417	all
chr1	7067	2	96	0.895833	0.104167	all
chr1	7388	2	96	0.979167	0.0208333	all
chr1	7398	2	96	0.989583	0.0104167	all
chr1	7426	2	96	0.875	0.125	all
chr1	7442	2	96	0.947917	0.0520833	all
chr1	7531	2	94	0.957447	0.0425532	all
chr1	7552	2	94	0.968085	0.0319149	all
chr1	7554	2	94	0.978723	0.0212766	all
chr1	7567	2	96	0.979167	0.0208333	all
chr1	7736	2	96	0.96875	0.03125	all
chr1	7761	2	96	0.958333	0.0416667	all
chr1	7895	2	94	0.893617	0.106383	all
chr1	7896	2	94	0.968085	0.0319149	all
chr1	7905	2	94	0.946809	0.0531915	all
chr1	8003	2	94	0.861702	0.138298	all
chr1	8038	2	96	0.864583	0.135417	all
chr1	8039	2	96	0.895833	0.104167	all
chr1	8048	2	96	0.947917	0.0520833	all
chr1	8165	2	96	0.958333	0.0416667	all
chr1	8200	2	96	0.9375	0.0625	all
chr1	8202	2	96	0.885417	0.114583	all
chr1	8254	2	94	0.925532	0.0744681	all
chr1	8273	2	94	0.946809	0.0531915	all
chr1	8277	2	94	0.978723	0.0212766	all
chr1	8405	2	96	0.875	0.125	all
chr1	8478	2	96	0.979167	0.0208333	all
chr1	8490	2	96	0.916667	0.0833333	all
chr1	8515	2	96	0.96875	0.03125	all
chr1	8536	2	94	0.978723	0.0212766	all
chr1	8552	2	94	0.829787	0.170213	all
chr1	8553	2	94	0.925532	0.0744681	all
chr1	8584	2	96	0.854167	0.145833	all
chr1	8643	2	96	0.979167	0.0208333	all
chr1	8650	2	96	0.96875	0.03125	all
chr1	8692	2	96	0.958333	0.0416667	all
chr1	8740	2	96	0.96875	0.03125	all
chr1	8910	2	96	0.979167	0.0208333	all
chr1	8958	2	96	0.895833	0.104167	all
chr1	9012	2	96	0.9375	0.0625	all
chr1	9300	2	96	0.958333	0.0416667	all
chr1	9321	2	96	0.96875	0.03125	all
chr1	9369	2	96	0.895833	0.104167	all
chr1	9487	2	96	0.979167	0.0208333	all
chr1	9488	2	96	0.979167	0.0208333	all
chr1	9509	2	96	0.958333	0.0416667	all
chr1	9533	2	96	0.989583	0.0104167	all
chr1	9682	2	96	0.989583	0.0104167	all
chr1	9695	2	96	0.916667	0.0833333	all
chr1	9810	2	96	0.958333	0.0416667	all
chr1	9832	2	96	0.9375	0.0625	all
chr1	9881	2	96	0.947917	0.0520833	all
chr1	9891	2	96	0.90625	0.09375	all
chr1	9911	2	96	0.979167	0.0208333	all
chr1	9918	2	96	0.9375	0.0625	all
chr1	9928	2	96	0.84375	0.15625	all
chr1	10027	2	96	0.84375	0.15625	all
chr1	10180	2	96	0.833333	0.166667	all
chr1	10242	2	96	0.96875	0.03125	all
chr1	10264	2	96	0.989583	0.0104167	all
chr1	10288	2	96	0.885417	0.114583	all
chr1	10408	2	88	0.943182	0.0568182	all
chr1	10416	2	88	0.920455	0.0795455	all
chr1	10450	2	96	0.854167	0.145833	all
chr1	10461	2	96	0.854167	0.145833	all
chr1	10497	2	82	0.97561	0.0243902	all
chr1	10503	2	82	0.97561	0.0243902	all
chr1	10504	2	82	0.902439	0.097561	all
chr1	10506	2	82	0.939024	0.0609756	all
chr1	10507	2	82	0.939024	0.0609756	all
chr1	10510	2	82	0.95122	0.0487805	all
chr1	10553	2	96	0.9375	0.0625	all
chr1	10556	2	96	0.916667	0.0833333	all
chr1	10558	2	96	0.885417	0.114583	all
chr1	10581	2	96	0.9375	0.0625	all
chr1	10594	2	96	0.958333	0.0416667	all
chr1	10609	2	96	0.958333	0.0416667	all
chr1	10637	2	94	0.87234	0.12766	all
chr1	10641	2	94	0.957447	0.0425532	all
chr1	10672	2	96	0.895833	0.104167	all
chr1	10698	2	94	0.829787	0.170213	all
chr1	10723	2	94	0.829787	0.170213	all
chr1	10784	2	94	0.946809	0.0531915	all
chr1	10842	2	96	0.96875	0.03125	all
chr1	10868	2	96	0.979167	0.0208333	all
chr1	10989	2	96	0.989583	0.0104167	all
chr1	10996	2	96	0.875	0.125	all
chr1	11010	2	96	0.885417	0.114583	all
chr1	11044	2	90	0.733333	0.266667	all
chr1	11045	2	90	0.833333	0.166667	all
chr1	11201	2	94	0.93617	0.0638298	all
chr1	11216	2	94	0.957447	0.0425532	all
chr1	11307	2	94	0.968085	0.0319149	all
chr1	11310	2	94	0.946809	0.0531915	all
chr1	11356	2	92	0.836957	0.163043	all
chr1	11366	2	92	0.98913	0.0108696	all
chr1	11437	2	92	0.978261	0.0217391	all
chr1	11559	2	96	0.947917	0.0520833	all
chr1	11562	2	96	0.916667	0.0833333	all
chr1	11565	2	96	0.916667	0.0833333	all
chr1	11573	2	96	0.958333	0.0416667	all
chr1	11574	2	96	0.947917	0.0520833	all
chr1	11576	2	96	0.96875	0.03125	all
chr1	11645	2	96	0.979167	0.0208333	all
chr1	11654	2	96	0.916667	0.0833333	all
chr1	11684	2	96	0.916667	0.0833333	all
chr1	11720	2	94	0.978723	0.0212766	all
chr1	11762	2	96	0.875	0.125	all
chr1	11805	2	96	0.895833	0.104167	all
chr1	11862	2	96	0.958333	0.0416667	all
chr1	11869	2	96	0.864583	0.135417	all
chr1	11996	2	94	0.946809	0.0531915	all
chr1	12000	2	94	0.851064	0.148936	all
chr1	12014	2	94	0.968085	0.0319149	all
chr1	12020	2	94	0.968085	0.0319149	all
chr1	12064	2	92	0.858696	0.141304	all
chr1	12068	2	92	0.891304	0.108696	all
chr1	12138	2	96	0.947917	0.0520833	all
chr1	12139	2	96	0.958333	0.0416667	all
chr1	12162	2	96	0.979167	0.0208333	all
chr1	12193	2	96	0.958333	0.0416667	all
chr1	12214	2	96	0.96875	0.03125	all
chr1	12216	2	96	0.958333	0.0416667	all
chr1	12231	2	96	0.989583	0.0104167	all
chr1	12233	2	96	0.947917	0.0520833	all
chr1	12280	2	96	0.895833	0.104167	all
chr1	12292	2	96	0.895833	0.104167	all
chr1	12390	2	96	0.875	0.125	all
chr1	12472	2	94	0.978723	0.0212766	all
chr1	12533	2	94	0.978723	0.0212766	all
chr1	12537	2	94	0.93617	0.0638298	all
chr1	12549	2	94	0.968085	0.0319149	all
chr1	12561	2	94	0.957447	0.0425532	all
chr1	12669	2	96	0.96875	0.03125	all
chr1	12683	2	94	0.861702	0.138298	all
chr1	12726	2	96	0.958333	0.0416667	all
chr1	12736	2	96	0.927083	0.0729167	all
chr1	12738	2	96	0.96875	0.03125	all
chr1	12836	2	94	0.957447	0.0425532	all
chr1	12869	2	96	0.833333	0.166667	all
chr1	12941	2	96	0.875	0.125	all
chr1	12942	2	96	0.96875	0.03125	all
chr1	12950	2	96	0.9375	0.0625	all
chr1	12985	2	92	0.978261	0.0217391	all
chr1	13001	2	92	0.967391	0.0326087	all
chr1	13012	2	92	0.891304	0.108696	all
chr1	13014	2	92	0.934783	0.0652174	all
chr1	13044	2	96	0.958333	0.0416667	all
chr1	13089	2	96	0.864583	0.135417	all
chr1	13096	2	96	0.96875	0.03125	all
chr1	13274	2	96	0.958333	0.0416667	all
chr1	13278	2	96	0.958333	0.0416667	all
chr1	13328	2	96	0.916667	0.0833333	all
chr1	13332	2	96	0.90625	0.09375	all
chr1	13361	2	96	0.96875	0.03125	all
chr1	13363	2	96	0.9375	0.0625	all
chr1	13437	2	96	0.895833	0.104167	all
chr1	13445	2	96	0.96875	0.03125	all
chr1	13532	2	96	0.9375	0.0625	all
chr1	13618	2	96	0.947917	0.0520833	all
chr1	13635	2	96	0.885417	0.114583	all
chr1	13656	2	96	0.96875	0.03125	all
chr1	13783	2	96	0.90625	0.09375	all
chr1	13795	2	96	0.96875	0.03125	all
chr1	13800	2	96	0.958333	0.0416667	all
chr1	13819	2	96	0.875	0.125	all
chr1	13864	2	84	0.964286	0.0357143	all
chr1	13890	2	84	0.940476	0.0595238	all
chr1	13891	2	84	0.892857	0.107143	all
chr1	13917	2	90	0.955556	0.0444444	all
chr1	13924	2	90	0.977778	0.0222222	all
chr1	13976	2	96	0.979167	0.0208333	all
chr1	13993	2	96	0.90625	0.09375	all
chr1	13997	2	96	0.90625	0.09375	all
chr1	14008	2	92	0.967391	0.0326087	all
chr1	14101	2	94	0.893617	0.106383	all
chr1	14145	2	96	0.979167	0.0208333	all
chr1	14216	2	94	0.957447	0.0425532	all
chr1	14229	2	96	0.895833	0.104167	all
chr1	14237	2	96	0.895833	0.104167	all
chr1	14277	2	92	0.978261	0.0217391	all
chr1	14297	2	94	0.978723	0.0212766	all
chr1	14310	2	94	0.946809	0.0531915	all
chr1	14331	2	96	0.895833	0.104167	all
chr1	14371	2	94	0.93617	0.0638298	all
chr1	14375	2	94	0.968085	0.0319149	all
chr1	14537	2	94	0.957447	0.0425532	all
chr1	14554	2	90	0.977778	0.0222222	all
chr1	14562	2	90	0.977778	0.0222222	all
chr1	14563	2	90	0.988889	0.0111111	all
chr1	14565	2	90	0.933333	0.0666667	all
chr1	14642	2	90	0.966667	0.0333333	all
chr1	14657	2	96	0.958333	0.0416667	all
chr1	14673	2	96	0.9375	0.0625	all
chr1	14696	2	96	0.90625	0.09375	all
chr1	14697	2	96	0.9375	0.0625	all
chr1	14733	2	96	0.864583	0.135417	all
chr1	14736	2	96	0.833333	0.166667	all
chr1	14751	2	96	0.979167	0.0208333	all
chr1	14752	2	96	0.927083	0.0729167	all
chr1	14766	2	96	0.979167	0.0208333	all
chr1	14815	2	96	0.927083	0.0729167	all
chr1	14826	2	96	0.96875	0.03125	all
chr1	14853	2	96	0.96875	0.03125	all
chr1	14860	2	96	0.885417	0.114583	all
chr1	14944	2	96	0.9375	0.0625	all
chr1	14951	2	96	0.916667	0.0833333	all
chr1	14971	2	96	0.90625	0.09375	all
chr1	14980	2	94	0.93617	0.0638298	all
chr1	15019	2	94	0.861702	0.138298	all
chr1	15074	2	96	0.864583	0.135417	all
chr1	15130	2	96	0.947917	0.0520833	all
chr1	15173	2	96	0.854167	0.145833	all
chr1	15211	2	94	0.925532	0.0744681	all
chr1	15224	2	94	0.957447	0.0425532	all
chr1	15289	2	96	0.90625	0.09375	all
chr1	15320	2	96	0.833333	0.166667	all
chr1	15357	2	96	0.854167	0.145833	all
chr1	15380	2	96	0.916667	0.0833333	all
chr1	15472	2	96	0.947917	0.0520833	all
chr1	15477	2	96	0.864583	0.135417	all
chr1	15485	2	96	0.958333	0.0416667	all
chr1	15528	2	96	0.84375	0.15625	all
chr1	15584	2	96	0.947917	0.0520833	all
chr1	15621	2	96	0.958333	0.0416667	all
chr1	15654	2	94	0.914894	0.0851064	all
chr1	15714	2	94	0.904255	0.0957447	all
chr1	15820	2	96	0.84375	0.15625	all
chr1	15888	2	94	0.968085	0.0319149	all
chr1	15922	2	94	0.946809	0.0531915	all
chr1	15932	2	94	0.978723	0.0212766	all
chr1	15933	2	94	0.968085	0.0319149	all
chr1	15942	2	94	0.93617	0.0638298	all
chr1	15957	2	94	0.925532	0.0744681	all
chr1	15975	2	94	0.925532	0.0744681	all
chr1	15981	2	94	0.925532	0.0744681	all
chr1	16028	2	96	0.927083	0.0729167	all
chr1	16076	2	96	0.90625	0.09375	all
chr1	16133	2	96	0.9375	0.0625	all
chr1	16145	2	96	0.854167	0.145833	all
chr1	16198	2	96	0.958333	0.0416667	all
chr1	16299	2	96	0.84375	0.15625	all
chr1	16311	2	96	0.958333	0.0416667	all
chr1	16313	2	96	0.90625	0.09375	all
chr1	16317	2	96	0.947917	0.0520833	all
chr1	16318	2	96	0.84375	0.15625	all
chr1	16339	2	96	0.927083	0.0729167	all
chr1	16341	2	96	0.958333	0.0416667	all
chr1	16398	2	92	0.967391	0.0326087	all
chr1	16434	2	94	0.861702	0.138298	all
chr1	16458	2	96	0.927083	0.0729167	all
chr1	16483	2	96	0.927083	0.0729167	all
chr1	16498	2	96	0.927083	0.0729167	all
chr1	16534	2	96	0.875	0.125	all
chr1	16576	2	96	0.96875	0.03125	all
chr1	16600	2	94	0.957447	0.0425532	all
chr1	16621	2	94	0.925532	0.0744681	all
chr1	16624	2	94	0.925532	0.0744681	all
chr1	16652	2	96	0.895833	0.104167	all
chr1	16653	2	96	0.864583	0.135417	all
chr1	16658	2	96	0.875	0.125	all
chr1	16660	2	96	0.916667	0.0833333	all
chr1	16686	2	94	0.904255	0.0957447	all
chr1	16839	2	96	0.958333	0.0416667	all
chr1	16857	2	94	0.957447	0.0425532	all
chr1	16890	2	92	0.967391	0.0326087	all
chr1	16965	2	96	0.958333	0.0416667	all
chr1	16987	2	96	0.854167	0.145833	all
chr1	16988	2	96	0.927083	0.0729167	all
chr1	16989	2	96	0.958333	0.0416667	all
chr1	17073	2	96	0.927083	0.0729167	all
chr1	17080	2	96	0.958333	0.0416667	all
chr1	17085	2	96	0.979167	0.0208333	all
chr1	17109	2	94	0.978723	0.0212766	all
chr1	17131	2	94	0.946809	0.0531915	all
chr1	17144	2	90	0.933333	0.0666667	all
chr1	17234	2	96	0.927083	0.0729167	all
chr1	17238	2	96	0.96875	0.03125	all
chr1	17247	2	96	0.979167	0.0208333	all
chr1	17296	2	92	0.836957	0.163043	all
chr1	17383	2	94	1	0	all
chr1	17434	2	96	0.979167	0.0208333	all
chr1	17435	2	96	0.979167	0.0208333	all
chr1	17539	2	96	0.96875	0.03125	all
chr1	17540	2	96	0.927083	0.0729167	all
chr1	17542	2	96	0.958333	0.0416667	all
chr1	17552	2	96	0.958333	0.0416667	all
chr1	17580	2	96	0.770833	0.229167	all
chr1	17585	2	96	0.927083	0.0729167	all
chr1	17594	2	96	0.958333	0.0416667	all
chr1	17598	2	96	0.833333	0.166667	all
chr1	17610	2	96	0.979167	0.0208333	all
chr1	17620	2	96	0.96875	0.03125	all
chr1	17635	2	96	0.90625	0.09375	all
chr1	17647	2	94	0.989362	0.0106383	all
chr1	17651	2	94	0.893617	0.106383	all
chr1	17659	2	94	0.882979	0.117021	all
chr1	17813	2	86	0.976744	0.0232558	all
chr1	17814	2	86	0.965116	0.0348837	all
chr1	17832	2	96	0.96875	0.03125	all
chr1	17925	2	96	0.927083	0.0729167	all
chr1	17932	2	96	0.947917	0.0520833	all
chr1	17937	2	96	0.9375	0.0625	all
chr1	17974	2	92	0.978261	0.0217391	all
chr1	17976	2	92	0.945652	0.0543478	all
chr1	17982	2	92	0.934783	0.0652174	all
chr1	17994	2	92	0.836957	0.163043	all
chr1	18004	2	94	0.946809	0.0531915	all
chr1	18017	2	94	0.861702	0.138298	all
chr1	18055	2	96	0.885417	0.114583	all
chr1	18102	2	94	0.93617	0.0638298	all
chr1	18185	2	94	0.93617	0.0638298	all
chr1	18200	2	94	0.946809	0.0531915	all
chr1	18365	2	94	0.946809	0.0531915	all
chr1	18391	2	94	0.904255	0.0957447	all
chr1	18451	2	86	0.883721	0.116279	all
chr1	18459	2	86	0.488372	0.511628	all
chr1	18485	2	96	0.979167	0.0208333	all
chr1	18507	2	96	0.96875	0.03125	all
chr1	18509	2	96	0.833333	0.166667	all
chr1	18511	2	96	0.9375	0.0625	all
chr1	18514	2	96	0.916667	0.0833333	all
chr1	18557	2	96	0.90625	0.09375	all
chr1	18568	2	96	0.958333	0.0416667	all
chr1	18622	2	96	0.979167	0.0208333	all
chr1	18726	2	92	0.978261	0.0217391	all
chr1	18750	2	92	0.913043	0.0869565	all
chr1	18776	2	96	0.947917	0.0520833	all
chr1	18801	2	94	0.968085	0.0319149	all
chr1	18819	2	94	0.893617	0.106383	all
chr1	18846	2	96	0.875	0.125	all
chr1	18854	2	96	0.979167	0.0208333	all
chr1	18884	2	94	0.840426	0.159574	all
chr1	18895	2	94	0.946809	0.0531915	all
chr1	18928	2	96	0.916667	0.0833333	all
chr1	18946	2	94	0.925532	0.0744681	all
chr1	18948	2	94	0.904255	0.0957447	all
chr1	19016	2	96	0.979167	0.0208333	all
chr1	19173	2	94	0.946809	0.0531915	all
chr1	19257	2	96	0.947917	0.0520833	all
chr1	19266	2	92	0.880435	0.119565	all
chr1	19321	2	96	0.947917	0.0520833	all
chr1	19323	2	96	0.9375	0.0625	all
chr1	19359	2	92	0.956522	0.0434783	all
chr1	19365	2	92	0.934783	0.0652174	all
chr1	19413	2	96	0.958333	0.0416667	all
chr1	19483	2	96	0.875	0.125	all
chr1	19493	2	96	0.916667	0.0833333	all
chr1	19494	2	96	0.90625	0.09375	all
chr1	19506	2	96	0.833333	0.166667	all
chr1	19590	2	96	0.864583	0.135417	all
chr1	19611	2	96	0.9375	0.0625	all
chr1	19625	2	96	0.9375	0.0625	all
chr1	19682	2	96	0.958333	0.0416667	all
chr1	19683	2	96	0.90625	0.09375	all
chr1	19688	2	96	0.833333	0.166667	all
chr1	19783	2	96	0.84375	0.15625	all
chr1	19795	2	96	0.916667	0.0833333	all
chr1	19810	2	96	0.90625	0.09375	all
chr1	19866	2	92	0.956522	0.0434783	all
chr1	19877	2	96	0.9375	0.0625	all
chr1	19919	2	96	0.90625	0.09375	all
chr1	19938	2	96	0.958333	0.0416667	all
chr1	19961	2	96	0.958333	0.0416667	all
chr1	20011	2	96	0.947917	0.0520833	all
chr1	20035	2	94	0.914894	0.0851064	all
chr1	20036	2	94	0.93617	0.0638298	all
chr1	20092	2	94	0.957447	0.0425532	all
chr1	20093	2	94	0.968085	0.0319149	all
chr1	20116	2	94	0.946809	0.0531915	all
chr1	20149	2	96	0.958333	0.0416667	all
chr1	20171	2	96	0.895833	0.104167	all
chr1	20188	2	96	0.979167	0.0208333	all
chr1	20192	2	96	0.864583	0.135417	all
chr1	20206	2	94	0.989362	0.0106383	all
chr1	20260	2	94	0.893617	0.106383	all
chr1	20266	2	94	0.93617	0.0638298	all
chr1	20308	2	96	0.979167	0.0208333	all
chr1	20309	2	96	0.979167	0.0208333	all
chr1	20311	2	96	0.885417	0.114583	all
chr1	20368	2	94	0.968085	0.0319149	all
chr1	20510	2	96	0.958333	0.0416667	all
chr1	20516	2	96	0.927083	0.0729167	all
chr1	20530	2	96	0.895833	0.104167	all
chr1	20541	2	96	0.927083	0.0729167	all
chr1	20553	2	96	0.958333	0.0416667	all
chr1	20565	2	96	0.979167	0.0208333	all
chr1	20574	2	96	0.916667	0.0833333	all
chr1	20581	2	96	0.854167	0.145833	all
chr1	20624	2	94	0.968085	0.0319149	all
chr1	20667	2	96	0.947917	0.0520833	all
chr1	20684	2	96	0.875	0.125	all
chr1	20694	2	96	0.947917	0.0520833	all
chr1	20697	2	96	0.947917	0.0520833	all
chr1	20710	2	96	0.979167	0.0208333	all
chr1	20741	2	94	0.361702	0.638298	all
chr1	20872	2	94	0.882979	0.117021	all
chr1	20885	2	94	0.904255	0.0957447	all
chr1	20890	2	94	0.840426	0.159574	all
chr1	20891	2	94	0.904255	0.0957447	all
chr1	20896	2	94	0.978723	0.0212766	all
chr1	20898	2	94	0.968085	0.0319149	all
chr1	20910	2	94	0.957447	0.0425532	all
chr1	20913	2	94	0.957447	0.0425532	all
chr1	20981	2	88	0.897727	0.102273	all
chr1	21079	2	96	0.90625	0.09375	all
chr1	21102	2	96	0.947917	0.0520833	all
chr1	21106	2	96	0.989583	0.0104167	all
chr1	21128	2	96	0.895833	0.104167	all
chr1	21138	2	96	0.96875	0.03125	all
chr1	21160	2	96	0.958333	0.0416667	all
chr1	21161	2	96	0.958333	0.0416667	all
chr1	21163	2	96	0.958333	0.0416667	all
chr1	21165	2	96	0.979167	0.0208333	all
chr1	21179	2	96	0.958333	0.0416667	all
chr1	21215	2	96	0.864583	0.135417	all
chr1	21229	2	96	0.854167	0.145833	all
chr1	21287	2	90	0.911111	0.0888889	all
chr1	21304	2	90	0.844444	0.155556	all
chr1	21319	2	92	0.956522	0.0434783	all
chr1	21389	2	96	0.885417	0.114583	all
chr1	21403	2	96	0.979167	0.0208333	all
chr1	21412	2	96	0.833333	0.166667	all
chr1	21415	2	96	0.59375	0.40625	all
chr1	21464	2	92	0.956522	0.0434783	all
chr1	21497	2	94	0.946809	0.0531915	all
chr1	21502	2	94	0.904255	0.0957447	all
chr1	21524	2	94	0.904255	0.0957447	all
chr1	21525	2	94	0.946809	0.0531915	all
chr1	21549	2	92	0.891304	0.108696	all
chr1	21580	2	84	0.97619	0.0238095	all
chr1	21589	2	84	0.97619	0.0238095	all
chr1	21599	2	80	0.6875	0.3125	all
chr1	21679	2	96	0.979167	0.0208333	all
chr1	21684	2	96	0.9375	0.0625	all
chr1	21691	2	96	0.96875	0.03125	all
chr1	21700	2	96	0.90625	0.09375	all
chr1	21724	2	96	0.90625	0.09375	all
chr1	21819	2	96	0.947917	0.0520833	all
chr1	21827	2	96	0.958333	0.0416667	all
chr1	21850	2	96	0.927083	0.0729167	all
chr1	21883	2	94	0.968085	0.0319149	all
chr1	21908	2	92	0.934783	0.0652174	all
chr1	21913	2	92	0.847826	0.152174	all
chr1	21952	2	92	0.967391	0.0326087	all
chr1	21955	2	92	0.902174	0.0978261	all
chr1	21958	2	92	0.902174	0.0978261	all
chr1	21967	2	94	0.829787	0.170213	all
chr1	21976	2	94	0.851064	0.148936	all
chr1	22057	2	96	0.875	0.125	all
chr1	22078	2	96	0.979167	0.0208333	all
chr1	22110	2	94	0.968085	0.0319149	all
chr1	22130	2	94	0.957447	0.0425532	all
chr1	22180	2	94	0.925532	0.0744681	all
chr1	22195	2	94	0.957447	0.0425532	all
chr1	22232	2	90	0.955556	0.0444444	all
chr1	22257	2	94	0.893617	0.106383	all
chr1	22269	2	94	0.957447	0.0425532	all
chr1	22338	2	94	0.978723	0.0212766	all
chr1	22456	2	92	0.945652	0.0543478	all
chr1	22469	2	94	0.904255	0.0957447	all
chr1	22474	2	94	0.904255	0.0957447	all
chr1	22543	2	96	0.885417	0.114583	all
chr1	22545	2	96	0.916667	0.0833333	all
chr1	22603	2	90	0.955556	0.0444444	all
chr1	22604	2	90	0.977778	0.0222222	all
chr1	22605	2	90	0.9	0.1	all
chr1	22628	2	96	0.979167	0.0208333	all
chr1	22656	2	84	0.77381	0.22619	all
chr1	22684	2	94	0.957447	0.0425532	all
chr1	22744	2	96	0.864583	0.135417	all
chr1	22769	2	96	0.90625	0.09375	all
chr1	22770	2	96	0.958333	0.0416667	all
chr1	22781	2	96	0.927083	0.0729167	all
chr1	22820	2	96	0.947917	0.0520833	all
chr1	22850	2	94	0.914894	0.0851064	all
chr1	22864	2	96	0.916667	0.0833333	all
chr1	22942	2	96	0.864583	0.135417	all
chr1	22973	2	90	0.944444	0.0555556	all
chr1	22986	2	90	0.866667	0.133333	all
chr1	23023	2	96	0.916667	0.0833333	all
chr1	23051	2	82	0.914634	0.0853659	all
chr1	23058	2	82	0.95122	0.0487805	all
chr1	23132	2	92	0.967391	0.0326087	all
chr1	23249	2	92	0.923913	0.076087	all
chr1	23254	2	88	0.954545	0.0454545	all
chr1	23299	2	80	0.9	0.1	all
chr1	23309	2	80	0.95	0.05	all
chr1	23318	2	80	0.95	0.05	all
chr1	23319	2	80	0.9375	0.0625	all
chr1	23357	2	96	0.916667	0.0833333	all
chr1	23405	2	96	0.895833	0.104167	all
chr1	23429	2	96	0.854167	0.145833	all
chr1	23491	2	96	0.979167	0.0208333	all
chr1	23516	2	88	0.977273	0.0227273	all
chr1	23517	2	88	0.943182	0.0568182	all
chr1	23519	2	88	0.897727	0.102273	all
chr1	23549	2	94	0.968085	0.0319149	all
chr1	23597	2	94	0.925532	0.0744681	all
chr1	23599	2	94	0.93617	0.0638298	all
chr1	23601	2	94	0.87234	0.12766	all
chr1	23660	2	94	0.925532	0.0744681	all
chr1	23732	2	92	0.902174	0.0978261	all
chr1	23749	2	92	0.967391	0.0326087	all
chr1	23799	2	96	0.927083	0.0729167	all
chr1	23801	2	96	0.958333	0.0416667	all
chr1	23842	2	96	0.979167	0.0208333	all
chr1	23844	2	96	0.854167	0.145833	all
chr1	23851	2	96	0.958333	0.0416667	all
chr1	23862	2	96	0.9375	0.0625	all
chr1	23874	2	94	0.904255	0.0957447	all
chr1	23879	2	94	0.93617	0.0638298	all
chr1	23885	2	94	0.989362	0.0106383	all
