chr	pair	shared	weighted
chr16	BT.ST	unshared	0.39643956250932366
chr16	GV.SB	unshared	0.4930396056331079
chr16	GV.ST	unshared	0.4392965622890669
chr16	SB.ST	shared	0.33882233337140905
chr17	BT.GV	shared	0.3873607601078697
chr17	BT.SB	unshared	0.39780862086323765
chr17	BT.ST	unshared	0.37800583558503875
chr17	GV.SB	unshared	0.47784109077585
chr17	GV.ST	unshared	0.443722107337038
chr17	SB.ST	shared	0.31559250649124815
chr18	BT.GV	shared	0.41541768860380063
chr18	BT.SB	unshared	0.4340682688440458
chr18	BT.ST	unshared	0.41966073055350384
chr18	GV.SB	unshared	0.4925668176967551
chr18	GV.ST	unshared	0.45911931753300794
chr18	SB.ST	shared	0.3224615160235445
chr19	BT.GV	shared	0.41567998854741023
chr19	BT.SB	unshared	0.4334260326657616
chr19	BT.ST	unshared	0.4172020609976974
chr19	GV.SB	unshared	0.5114900041862419
chr19	GV.ST	unshared	0.46994509503894466
chr19	SB.ST	shared	0.33141429437708736
chr2	BT.GV	shared	0.43694557285766567
chr2	BT.SB	unshared	0.4364939254562825
chr2	BT.ST	unshared	0.4395625565467774
chr2	GV.SB	unshared	0.5595275799050021
chr2	GV.ST	unshared	0.54158412663764
chr2	SB.ST	shared	0.3336559208385873
chr20	BT.GV	shared	0.41940194013737175
chr20	BT.SB	unshared	0.4345373164999434
chr20	BT.ST	unshared	0.40732266141567386
chr20	GV.SB	unshared	0.5011709825109664
chr20	GV.ST	unshared	0.46166252699646976
chr20	SB.ST	shared	0.3397023507417197
chr21	BT.GV	shared	0.427953527925873
chr21	BT.SB	unshared	0.4433295262400463
chr21	BT.ST	unshared	0.4205734963170207
chr21	GV.SB	unshared	0.5249976725368211
chr21	GV.ST	unshared	0.48056527709044267
chr21	SB.ST	shared	0.32695398923508706
chr22	BT.GV	shared	0.42720225315232396
chr22	BT.SB	unshared	0.4479778049674372
chr22	BT.ST	unshared	0.42383787410913676
chr22	GV.SB	unshared	0.5303195948051602
chr22	GV.ST	unshared	0.4933295030995262
chr22	SB.ST	shared	0.3465498519132518
chr23	BT.GV	shared	0.4354807417522617
chr23	BT.SB	unshared	0.4501888983974168
chr23	BT.ST	unshared	0.4256300987150652
chr23	GV.SB	unshared	0.5335835798570756
chr23	GV.ST	unshared	0.4969594592982691
chr23	SB.ST	shared	0.33705686437501936
chr24	BT.GV	shared	0.42827401211910776
chr24	BT.SB	unshared	0.4421626560507511
chr24	BT.ST	unshared	0.4221735291650722
chr24	GV.SB	unshared	0.5278962306761408
chr24	GV.ST	unshared	0.4874123347212016
chr24	SB.ST	shared	0.32761867009892737
chr25	BT.GV	shared	0.43215396311228693
chr25	BT.SB	unshared	0.4635783719864692
chr25	BT.ST	unshared	0.44064899715617045
chr25	GV.SB	unshared	0.5266914697201017
chr25	GV.ST	unshared	0.4898631719777381
chr25	SB.ST	shared	0.3510870657386563
chr26	BT.GV	shared	0.4418297618050958
chr26	BT.SB	unshared	0.45501908123749246
chr26	BT.ST	unshared	0.4419045023382152
chr26	GV.SB	unshared	0.5291546668764274
chr26	GV.ST	unshared	0.49837574757983716
chr26	SB.ST	shared	0.33958792254843656
chr27	BT.GV	shared	0.4167401953205408
chr27	BT.SB	unshared	0.43992497510339945
chr27	BT.ST	unshared	0.4182569067829576
chr27	GV.SB	unshared	0.5320651745908156
chr27	GV.ST	unshared	0.49579918681485424
chr27	SB.ST	shared	0.337312372542994
chr28	BT.GV	shared	0.43102452926819196
chr28	BT.SB	unshared	0.44917092008445697
chr28	BT.ST	unshared	0.4361583487607186
chr28	GV.SB	unshared	0.5208079064629947
chr28	GV.ST	unshared	0.483963130589552
chr28	SB.ST	shared	0.32562346637260753
chr29	BT.GV	shared	0.42062089514223927
chr29	BT.SB	unshared	0.4374816359649863
chr29	BT.ST	unshared	0.4359019999340981
chr29	GV.SB	unshared	0.50753830687379
chr29	GV.ST	unshared	0.48550261290024505
chr29	SB.ST	shared	0.32470624501991646
chr3	BT.GV	shared	0.43540252972286914
chr3	BT.SB	unshared	0.4382638835167019
chr3	BT.ST	unshared	0.43065786040843673
chr3	GV.SB	unshared	0.5571906222905579
chr3	GV.ST	unshared	0.5270013158991436
chr3	SB.ST	shared	0.33756676547822984
chr30	BT.GV	shared	0.42933111465457335
chr30	BT.SB	unshared	0.4485182320825493
chr30	BT.ST	unshared	0.44128788008055614
chr30	GV.SB	unshared	0.5161690868143735
chr30	GV.ST	unshared	0.4826502200408388
chr30	SB.ST	shared	0.31714394776386895
chr4	BT.GV	shared	0.4115815347801118
chr4	BT.SB	unshared	0.43345514870361274
chr4	BT.ST	unshared	0.42861923685934356
chr4	GV.SB	unshared	0.5329188993244247
chr4	GV.ST	unshared	0.5156385442640974
chr4	SB.ST	shared	0.3379569049731036
chr5	BT.GV	shared	0.42823508197219773
chr5	BT.SB	unshared	0.4281192420583424
chr5	BT.ST	unshared	0.42285539039084324
chr5	GV.SB	unshared	0.5468206342014227
chr5	GV.ST	unshared	0.5217101693367001
chr5	SB.ST	shared	0.32321196839900174
chr6	BT.GV	shared	0.4096894220766693
chr6	BT.SB	unshared	0.43287066401252083
chr6	BT.ST	unshared	0.42033284310824504
chr6	GV.SB	unshared	0.5280161868691219
chr6	GV.ST	unshared	0.487660392169271
chr6	SB.ST	shared	0.31937022629023826
chr7	BT.GV	shared	0.43861085788905885
chr7	BT.SB	unshared	0.4351932377882178
chr7	BT.ST	unshared	0.4137922001398285
chr7	GV.SB	unshared	0.5389168550308004
chr7	GV.ST	unshared	0.4960679832802409
chr7	SB.ST	shared	0.33485252077103633
chr8	BT.GV	shared	0.42453063300838156
chr8	BT.SB	unshared	0.44347558637795836
chr8	BT.ST	unshared	0.42704249041477443
chr8	GV.SB	unshared	0.5181324952577147
chr8	GV.ST	unshared	0.47971751662264406
chr8	SB.ST	shared	0.3669436505853392
chr9	BT.GV	shared	0.4082884767557999
chr9	BT.SB	unshared	0.4160052095388287
chr9	BT.ST	unshared	0.38739671317165775
chr9	GV.SB	unshared	0.5128406391821693
chr9	GV.ST	unshared	0.4601894410591026
chr9	SB.ST	shared	0.3107491290960791
